indicateur_id,nom_indicateur,nom_origine,theme,definition,unite,source,annee,statut,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire
28,Indice Synthétique de fécondité,Indice Synthétique de fécondité,demography,Indice Synthétique de fécondité. Thème : demography.,,,,actif,demography_demography_ages_mariage_handicap,long,valeur,Indice Synthétique de fécondité,territoire_id
29,Ages mariage handicap — Population de 15 ans et plus,Population de 15 ans et plus,demography,Ages mariage handicap — Population de 15 ans et plus. Thème : demography.,hab,,,actif,demography_demography_ages_mariage_handicap,long,valeur,Population de 15 ans et plus,territoire_id
30,Taux de couverture médicale (%),Taux de couverture médicale (%),demography,Taux de couverture médicale (%). Thème : demography.,%,,,actif,demography_demography_ages_mariage_handicap,long,valeur,Taux de couverture médicale (%),territoire_id
32,Taux de prévalence du handicap par groupes d'âges (%),Taux de prévalence du handicap par groupes d'âges (%),demography,Taux de prévalence du handicap par groupes d'âges (%). Thème : demography.,%,,,actif,demography_demography_ages_mariage_handicap,long,valeur,Taux de prévalence du handicap par groupes d'âges (%),territoire_id
33,Âge moyen au premier mariage,Âge moyen au premier mariage,demography,Âge moyen au premier mariage. Thème : demography.,,,,actif,demography_demography_ages_mariage_handicap,long,valeur,Âge moyen au premier mariage,territoire_id
34,État matrimonial des 15 ans et plus (%),État matrimonial des 15 ans et plus (%),demography,État matrimonial des 15 ans et plus (%). Thème : demography.,%,,,actif,demography_demography_ages_mariage_handicap,long,valeur,État matrimonial des 15 ans et plus (%),territoire_id
35,Population rgph2024 population demogra — Descendance finale des femmes,Descendance finale des femmes,demography,Population rgph2024 population demogra — Descendance finale des femmes. Thème : demography.,hab,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Descendance finale des femmes,territoire_id
36,Indicateur conjoncturel de fécondité,Indicateur conjoncturel de fécondité,demography,Indicateur conjoncturel de fécondité. Thème : demography.,,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Indicateur conjoncturel de fécondité,territoire_id
37,Population rgph2024 population demogra — Population de 10 ans et plus,Population de 10 ans et plus,demography,Population rgph2024 population demogra — Population de 10 ans et plus. Thème : demography.,hab,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 10 ans et plus,territoire_id
38,Population rgph2024 population demogra — Population de 15 ans et plus,Population de 15 ans et plus,demography,Population rgph2024 population demogra — Population de 15 ans et plus. Thème : demography.,hab,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 15 ans et plus,territoire_id
39,Population rgph2024 population demogra — Population de 7-12 ans,Population de 7-12 ans,demography,Population rgph2024 population demogra — Population de 7-12 ans. Thème : demography.,hab,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 7-12 ans,territoire_id
40,Population légale,Population légale,demography,Population légale. Thème : demography.,hab,,,validé,demography_demography_population_rgph2024_population_demogra,long,valeur,Population légale,territoire_id
41,Population municipale,Population municipale,demography,Population municipale. Thème : demography.,hab,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population municipale,territoire_id
42,Sexe (%) - Féminin,Sexe (%) - Féminin,demography,Sexe (%) - Féminin. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Sexe (%) - Féminin,territoire_id
43,Sexe (%) - Masculin,Sexe (%) - Masculin,demography,Sexe (%) - Masculin. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Sexe (%) - Masculin,territoire_id
44,Âge moyen singulier au mariage,Âge moyen singulier au mariage,demography,Âge moyen singulier au mariage. Thème : demography.,,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge moyen singulier au mariage,territoire_id
45,Âge quinquennal (%) - 0-4 ans,Âge quinquennal (%) - 0-4 ans,demography,Âge quinquennal (%) - 0-4 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 0-4 ans,territoire_id
46,Âge quinquennal (%) - 10-14 ans,Âge quinquennal (%) - 10-14 ans,demography,Âge quinquennal (%) - 10-14 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 10-14 ans,territoire_id
47,Âge quinquennal (%) - 15-19 ans,Âge quinquennal (%) - 15-19 ans,demography,Âge quinquennal (%) - 15-19 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 15-19 ans,territoire_id
48,Âge quinquennal (%) - 20-24 ans,Âge quinquennal (%) - 20-24 ans,demography,Âge quinquennal (%) - 20-24 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 20-24 ans,territoire_id
49,Âge quinquennal (%) - 25-29 ans,Âge quinquennal (%) - 25-29 ans,demography,Âge quinquennal (%) - 25-29 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 25-29 ans,territoire_id
50,Âge quinquennal (%) - 30-34 ans,Âge quinquennal (%) - 30-34 ans,demography,Âge quinquennal (%) - 30-34 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 30-34 ans,territoire_id
51,Âge quinquennal (%) - 35-39 ans,Âge quinquennal (%) - 35-39 ans,demography,Âge quinquennal (%) - 35-39 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 35-39 ans,territoire_id
52,Âge quinquennal (%) - 40-44 ans,Âge quinquennal (%) - 40-44 ans,demography,Âge quinquennal (%) - 40-44 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 40-44 ans,territoire_id
53,Âge quinquennal (%) - 45-49 ans,Âge quinquennal (%) - 45-49 ans,demography,Âge quinquennal (%) - 45-49 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 45-49 ans,territoire_id
54,Âge quinquennal (%) - 5-9 ans,Âge quinquennal (%) - 5-9 ans,demography,Âge quinquennal (%) - 5-9 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 5-9 ans,territoire_id
55,Âge quinquennal (%) - 50-54 ans,Âge quinquennal (%) - 50-54 ans,demography,Âge quinquennal (%) - 50-54 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 50-54 ans,territoire_id
56,Âge quinquennal (%) - 55-59 ans,Âge quinquennal (%) - 55-59 ans,demography,Âge quinquennal (%) - 55-59 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 55-59 ans,territoire_id
57,Âge quinquennal (%) - 60-64 ans,Âge quinquennal (%) - 60-64 ans,demography,Âge quinquennal (%) - 60-64 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 60-64 ans,territoire_id
58,Âge quinquennal (%) - 65-69 ans,Âge quinquennal (%) - 65-69 ans,demography,Âge quinquennal (%) - 65-69 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 65-69 ans,territoire_id
59,Âge quinquennal (%) - 70-74 ans,Âge quinquennal (%) - 70-74 ans,demography,Âge quinquennal (%) - 70-74 ans. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 70-74 ans,territoire_id
60,Âge quinquennal (%) - 75 ans ou plus,Âge quinquennal (%) - 75 ans ou plus,demography,Âge quinquennal (%) - 75 ans ou plus. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 75 ans ou plus,territoire_id
61,État matrimonial des 15 ans et plus (%) - Célibataire,État matrimonial des 15 ans et plus (%) - Célibataire,demography,État matrimonial des 15 ans et plus (%) - Célibataire. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Célibataire,territoire_id
62,État matrimonial des 15 ans et plus (%) - Divorcé.e,État matrimonial des 15 ans et plus (%) - Divorcé.e,demography,État matrimonial des 15 ans et plus (%) - Divorcé.e. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Divorcé.e,territoire_id
63,État matrimonial des 15 ans et plus (%) - Marié.e,État matrimonial des 15 ans et plus (%) - Marié.e,demography,État matrimonial des 15 ans et plus (%) - Marié.e. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Marié.e,territoire_id
64,État matrimonial des 15 ans et plus (%) - Veuf.ve,État matrimonial des 15 ans et plus (%) - Veuf.ve,demography,État matrimonial des 15 ans et plus (%) - Veuf.ve. Thème : demography.,%,,,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Veuf.ve,territoire_id
65,menages_2014,menages_2014,demography,menages_2014. Thème : demography.,nombre,,,actif,demography_demography_population_population_1,long,valeur,menages_2014,territoire_id
66,menages_2024,menages_2024,demography,menages_2024. Thème : demography.,nombre,,,actif,demography_demography_population_population_1,long,valeur,menages_2024,territoire_id
67,population_legale_2014,population_legale_2014,demography,population_legale_2014. Thème : demography.,hab,,,actif,demography_demography_population_population_1,long,valeur,population_legale_2014,territoire_id
68,population_legale_2024,population_legale_2024,demography,population_legale_2024. Thème : demography.,hab,,,actif,demography_demography_population_population_1,long,valeur,population_legale_2024,territoire_id
69,taux_accroissement_menages_pct,taux_accroissement_menages_pct,demography,taux_accroissement_menages_pct. Thème : demography.,%,,,actif,demography_demography_population_population_1,long,valeur,taux_accroissement_menages_pct,territoire_id
70,taux_accroissement_pop_pct,taux_accroissement_pop_pct,demography,taux_accroissement_pop_pct. Thème : demography.,%,,,actif,demography_demography_population_population_1,long,valeur,taux_accroissement_pop_pct,territoire_id
71,Population legale 2025 urba — menages,menages,demography,Population legale 2025 urba — menages. Thème : demography.,hab,,,actif,demography_demography_population_population_legale_2025_urba,long,valeur,menages,territoire_id
72,Population legale 2025 urba,population,demography,Population legale 2025 urba. Thème : demography.,hab,,,actif,demography_demography_population_population_legale_2025_urba,long,valeur,population,territoire_id
73,distance_centre_sante_km,distance_centre_sante_km,demography,distance_centre_sante_km. Thème : demography.,,,,actif,demography_demography_population_population_rural,long,valeur,distance_centre_sante_km,territoire_id
74,distance_college_km,distance_college_km,demography,distance_college_km. Thème : demography.,,,,actif,demography_demography_population_population_rural,long,valeur,distance_college_km,territoire_id
75,distance_ecole_primaire_km,distance_ecole_primaire_km,demography,distance_ecole_primaire_km. Thème : demography.,,,,actif,demography_demography_population_population_rural,long,valeur,distance_ecole_primaire_km,territoire_id
76,distance_lycee_km,distance_lycee_km,demography,distance_lycee_km. Thème : demography.,,,,actif,demography_demography_population_population_rural,long,valeur,distance_lycee_km,territoire_id
77,distance_route_carrossable_km,distance_route_carrossable_km,demography,distance_route_carrossable_km. Thème : demography.,,,,actif,demography_demography_population_population_rural,long,valeur,distance_route_carrossable_km,territoire_id
78,distance_route_goudronnee_km,distance_route_goudronnee_km,demography,distance_route_goudronnee_km. Thème : demography.,,,,actif,demography_demography_population_population_rural,long,valeur,distance_route_goudronnee_km,territoire_id
79,nombre_menages,nombre_menages,demography,nombre_menages. Thème : demography.,nombre,,,actif,demography_demography_population_population_rural,long,valeur,nombre_menages,territoire_id
80,pct_15_59ans,pct_15_59ans,demography,pct_15_59ans. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_15_59ans,territoire_id
81,pct_60ans_plus,pct_60ans_plus,demography,pct_60ans_plus. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_60ans_plus,territoire_id
82,pct_celibataire,pct_celibataire,demography,pct_celibataire. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_celibataire,territoire_id
83,Population rural — pct_divorce,pct_divorce,demography,Population rural — pct_divorce. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_divorce,territoire_id
84,pct_enregistrement_etat_civil,pct_enregistrement_etat_civil,demography,pct_enregistrement_etat_civil. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_enregistrement_etat_civil,territoire_id
85,pct_logement_appartement,pct_logement_appartement,demography,pct_logement_appartement. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_appartement,territoire_id
86,pct_logement_autre,pct_logement_autre,demography,pct_logement_autre. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_autre,territoire_id
87,pct_logement_dur_rural,pct_logement_dur_rural,demography,pct_logement_dur_rural. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_dur_rural,territoire_id
88,pct_logement_maison_marocaine_moderne,pct_logement_maison_marocaine_moderne,demography,pct_logement_maison_marocaine_moderne. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_maison_marocaine_moderne,territoire_id
89,pct_logement_maison_marocaine_traditionnelle,pct_logement_maison_marocaine_traditionnelle,demography,pct_logement_maison_marocaine_traditionnelle. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_maison_marocaine_traditionnelle,territoire_id
90,pct_logement_pise_rural,pct_logement_pise_rural,demography,pct_logement_pise_rural. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_pise_rural,territoire_id
91,pct_logement_sommaire_bidonville,pct_logement_sommaire_bidonville,demography,pct_logement_sommaire_bidonville. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_sommaire_bidonville,territoire_id
92,pct_logement_villa,pct_logement_villa,demography,pct_logement_villa. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_logement_villa,territoire_id
93,Population rural — pct_marie,pct_marie,demography,Population rural — pct_marie. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_marie,territoire_id
94,pct_moins_15ans,pct_moins_15ans,demography,pct_moins_15ans. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_moins_15ans,territoire_id
95,pct_nationalite_etrangere,pct_nationalite_etrangere,demography,pct_nationalite_etrangere. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_nationalite_etrangere,territoire_id
96,pct_nationalite_marocaine,pct_nationalite_marocaine,demography,pct_nationalite_marocaine. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_nationalite_marocaine,territoire_id
97,pct_sexe_feminin,pct_sexe_feminin,demography,pct_sexe_feminin. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_sexe_feminin,territoire_id
98,pct_sexe_masculin,pct_sexe_masculin,demography,pct_sexe_masculin. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_sexe_masculin,territoire_id
99,Population rural — pct_veuf,pct_veuf,demography,Population rural — pct_veuf. Thème : demography.,%,,,actif,demography_demography_population_population_rural,long,valeur,pct_veuf,territoire_id
100,Population rural,population,demography,Population rural. Thème : demography.,hab,,,actif,demography_demography_population_population_rural,long,valeur,population,territoire_id
101,population_15ans_plus,population_15ans_plus,demography,population_15ans_plus. Thème : demography.,hab,,,actif,demography_demography_population_population_rural,long,valeur,population_15ans_plus,territoire_id
102,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh). Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),territoire_id
103,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais. Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,territoire_id
104,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe. Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,territoire_id
105,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français. Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,territoire_id
106,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,education,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études. Thème : education.,%,,,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,territoire_id
107,Niveau d'études dans l'enseignement général (%) - Primaire,Niveau d'études dans l'enseignement général (%) - Primaire,education,Niveau d'études dans l'enseignement général (%) - Primaire. Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Primaire,territoire_id
108,Niveau d'études dans l'enseignement général (%) - Préscolaire,Niveau d'études dans l'enseignement général (%) - Préscolaire,education,Niveau d'études dans l'enseignement général (%) - Préscolaire. Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Préscolaire,territoire_id
109,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,education,Niveau d'études dans l'enseignement général (%) - Secondaire collégial. Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,territoire_id
110,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,education,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant. Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,territoire_id
111,Niveau d'études dans l'enseignement général (%) - Supérieur,Niveau d'études dans l'enseignement général (%) - Supérieur,education,Niveau d'études dans l'enseignement général (%) - Supérieur. Thème : education.,%,,,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Niveau d'études dans l'enseignement général (%) - Supérieur,territoire_id
112,Etab scoalires mesures rgph2024 population educati — Population alphabète de 10 ans et plus,Population alphabète de 10 ans et plus,education,Etab scoalires mesures rgph2024 population educati — Population alphabète de 10 ans et plus. Thème : education.,hab,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Population alphabète de 10 ans et plus,territoire_id
113,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 10 ans et plus (%),Taux d'analphabétisme des 10 ans et plus (%),education,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 10 ans et plus (%). Thème : education.,%,,,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux d'analphabétisme des 10 ans et plus (%),territoire_id
114,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 15 ans et plus (%),Taux d'analphabétisme des 15 ans et plus (%),education,Etab scoalires mesures rgph2024 population educati — Taux d'analphabétisme des 15 ans et plus (%). Thème : education.,%,,,actif,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux d'analphabétisme des 15 ans et plus (%),territoire_id
115,Taux de scolarisation des 6-11 ans en 2023/2024 (%),Taux de scolarisation des 6-11 ans en 2023/2024 (%),education,Taux de scolarisation des 6-11 ans en 2023/2024 (%). Thème : education.,%,,,validé,education_etab_scoalires_mesures_rgph2024_population_educati,long,valeur,Taux de scolarisation des 6-11 ans en 2023/2024 (%),territoire_id
116,Indicateur nombre etablissements — Nombre d'établissements collegial,Nombre d'établissements collegial,education,Indicateur nombre etablissements — Nombre d'établissements collegial. Thème : education.,nombre,,,actif,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements collegial,territoire_id
117,Indicateur nombre etablissements — Nombre d'établissements primaire,Nombre d'établissements primaire,education,Indicateur nombre etablissements — Nombre d'établissements primaire. Thème : education.,nombre,,,actif,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements primaire,territoire_id
118,Indicateur nombre etablissements — Nombre d'établissements qualifiant,Nombre d'établissements qualifiant,education,Indicateur nombre etablissements — Nombre d'établissements qualifiant. Thème : education.,nombre,,,actif,education_indicateur_nombre_etablissements,long,valeur,Nombre d'établissements qualifiant,territoire_id
