id;famille;question;branche_obtenue;refus;indicateur;territoire;verdict;reponse
VP015;valeur_precise;Pour mon mémoire, il me faudrait l'indicateur conjoncturel de fécondité de la commune de Larache (pas la province).;valeur;;36;Commune de Larache;strict;Indicateur conjoncturel de fécondité pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP016;valeur_precise;Quel est le taux d'utilisation d'Internet dans la province de M'diq-Fnideq ?;valeur;;367;M'diq-Fnideq;strict;Utilisation d'Internet (5 ans et plus) pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP017;valeur_precise;Quelle est la population municipale de la commune d'Al Hoceima ?;valeur;;41;Commune d'Al Hoceima;strict;Population municipale pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP018;valeur_precise;Taux de prévalence du handicap à Targuist ?;valeur;;394;Commune de Targuist;strict;Taux de prévalence du handicap pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP019;valeur_precise;Combien d'écoles primaires publiques recensées dans la province de Larache (chiffres 2021) ?;valeur;;117;Larache;strict;Écoles primaires publiques recensées pour territoire factice en 2021 : valeur factice. (Source : Portail Open Data data.gov.ma — MENPS, « Liste des établissements scolaires publics » (créé 15/05/2014, dernière modification 13/12/2021). Périmètre : secteur PUBLIC uniquement.)
VP020;valeur_precise;Âge moyen singulier au mariage dans la commune d'Oued Laou ?;valeur;;44;Commune d'Oued Laou;strict;Âge moyen singulier au mariage pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP021;valeur_precise;Population alphabète de 10 ans et plus à Bni Bouayach, vous avez ce chiffre ?;valeur;;112;Commune de Bni Bouayach;strict;Population alphabète de 10 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP022;valeur_precise;Nombre total d'établissements primaires (public + privé) dans la province de Chefchaouen ?;valeur;;515;Chefchaouen;strict;Établissements primaire public + privé (Annuaire officiel) pour territoire factice en 2023-2024 : valeur factice. (Source : Annuaire Statistique du Maroc 2024 (HCP), Chapitre XI — Tableaux 11-5 et 11-15)
VP023;valeur_precise;Taux d'analphabétisme des 10 ans et plus à Issaguen (Ketama) ?;valeur;;113;Commune d'Issaguen;strict;Taux d'analphabétisme des 10 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP024;valeur_precise;Habitants par officine de pharmacie, province d'Al Hoceima ?;valeur;;427;Al Hoceima;strict;Habitants par officine de pharmacie (ensemble) pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — Tableau de Bord Interactif, export officiel 2024)
VP025;valeur_precise;Quelle est la population active de 15 ans et plus dans la commune d'Ouezzane (la ville, pas la province) ?;valeur;;381;Commune d'Ouezzane;strict;Population active de 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP026;valeur_precise;Établissements avec module d'accouchement à Bab Taza ?;valeur;;523;Commune de Bab Taza;strict;Établissements avec module d'accouchement pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — registres des établissements, export officiel 2024. Dénombrement des établissements recensés par territoire.)
VP027;valeur_precise;Humidité relative moyenne, province de Tétouan, sur la période 2020-2024 ?;valeur;;1;Tétouan;strict;Humidité relative moyenne pour territoire factice en 2020-2024 : valeur factice. (Source : Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-5, 23-6 et 23-7 (stations de la Direction de la
VP028;valeur_precise;Quelle est la répartition du statut professionnel des actifs occupés de 15 ans et plus à Zoumi ?;valeur;;384;Commune de Zoumi;strict;Statut professionnel des actifs occupés de 15 ans et plus — Aide familial pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP029;valeur_precise;Population de 15 ans et plus à Jouamaa ?;valeur;;38;Commune de Jouamaa;strict;Population de 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP030;valeur_precise;Température maximale moyenne enregistrée dans la province de Larache ?;valeur;;2;Larache;strict;Température maximale moyenne pour territoire factice en 2020-2024 : valeur factice. (Source : Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-5, 23-6 et 23-7 (stations de la Direction de
VP031;valeur_precise;Quel est le taux d'accroissement annuel de la population dans la province de Larache ?;valeur;;70;Larache;strict;Taux d'accroissement annuel de la population pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP032;valeur_precise;Quelles langues locales sont utilisées dans la commune de Tétouan, en pourcentage ?;valeur;;376;Commune de Tétouan;strict;Langues locales utilisées (non exclusives) — Darija pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP033;valeur_precise;Longueur des routes provinciales dans la préfecture de Fahs-Anjra ?;valeur;;318;Fahs-Anjra;strict;Routes provinciales pour territoire factice en 2024 : valeur factice. (Source : Direction Régionale du HCP Tanger-Tétouan-Al Hoceïma, figure « Réseau routier et autoroutier (en km) selon les préfectures/provinces, 2024 ». Niveau province — ventilation absente de l'Annuaire national, qui s'arrête à l
VP034;valeur_precise;Contribution de la santé à la pauvreté multidimensionnelle à Martil ?;valeur;;432;Commune de Martil;strict;Contribution de la santé à la pauvreté multidimensionnelle pour territoire factice en 2024 : valeur factice. (Source : HCP — Cartographie de la pauvreté multidimensionnelle (Mai 2025), niveaux commune et province, 2024)
VP035;valeur_precise;Population inactive de 15 ans et plus dans la commune de Ksar Sghir ?;valeur;;383;Commune de Ksar Sghir;strict;Population inactive de 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP036;valeur_precise;Combien d'établissements collégiaux publics dans la province de Ouezzane (chiffres 2023-2024) ?;valeur;;517;Ouezzane;strict;Établissements collégial public (Annuaire officiel) pour territoire factice en 2023-2024 : valeur factice. (Source : Annuaire Statistique du Maroc 2024 (HCP), Chapitre XI — Tableau 11-17)
VP037;valeur_precise;Résidents installés depuis moins de 5 ans à Zaouiat Sidi Kacem ?;valeur;;17;Commune de Zaouiat Sidi Kacem;strict;Population résidente 5 ans auparavant pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP038;valeur_precise;Descendance finale des femmes, commune de Bab Berred ?;valeur;;35;Commune de Bab Berred;strict;Descendance finale des femmes pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP039;valeur_precise;Quel pourcentage de la population dispose d'un ordinateur personnel dans la province de Tanger-Assilah ?;valeur;;368;Tanger-Assilah;strict;Ordinateur personnel (5 ans et plus) pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP040;valeur_precise;Entrées migratoires enregistrées pour la commune d'Assilah ?;valeur;;5;Commune d'Assilah;strict;Entrées migratoires (durée de vie) pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP041;valeur_precise;Sorties migratoires, commune de Fnideq ?;valeur;;11;Commune de Fnideq;strict;Sorties migratoires (durée de vie) pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP042;valeur_precise;Distance moyenne des logements à la route goudronnée, province de M'diq-Fnideq ?;valeur;;485;M'diq-Fnideq;strict;Distance moyenne des logements à la route goudronnée (Km) pour territoire factice en 2024 : valeur factice. (Source : HCP — Indicateurs démographiques et socioéconomiques RGPH 2024, feuille Ménages, milieu Ensemble)
VP043;valeur_precise;État matrimonial des 15 ans et plus dans la commune d'Ain Beida, vous avez le détail ?;valeur;;61;Commune d'Ain Beida;strict;État matrimonial des 15 ans et plus — Célibataire pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP044;valeur_precise;Habitants par infirmier dans la province de Chefchaouen ?;valeur;;418;Chefchaouen;strict;Habitants par infirmier (secteur public) pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — Tableau de Bord Interactif, export officiel 2024)
VP045;valeur_precise;Quel est le taux de chômage dans la commune de Larache, précisément la ville ?;valeur;;393;Commune de Larache;strict;Taux de chômage pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP046;valeur_precise;La commune d'Al Hoceima a-t-elle des établissements avec unité UMP, et combien ?;question;;524;;acceptable;« Al Hoceima » désigne à la fois une commune et une préfecture ou province, et les valeurs y sont très différentes. Souhaitez-vous la commune ou la province ?
VP047;valeur_precise;Répartition par type de logement dans la province de Tétouan ?;valeur;;458;Tétouan;strict;Type de logement — Logement rural pour territoire factice en 2024 : valeur factice. (Source : HCP — Indicateurs démographiques et socioéconomiques RGPH 2024, feuille Ménages, milieu Ensemble)
VP048;valeur_precise;Population sédentaire de 5 ans et plus à Imzouren ?;valeur;;16;Commune d'Imzouren;strict;Population sédentaire de 5 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP049;valeur_precise;Combien de migrants internationaux recensés à Targuist ?;valeur;;26;Commune de Targuist;strict;Migrants internationaux pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP050;valeur_precise;Nombre de lycées publics recensés (2021) dans la province de Larache ?;refus;millesime;;;écart;Aucune donnée pour 2021. Millésime(s) disponible(s) : 2023, 2024.
VP051;valeur_precise;Natifs du territoire, commune de Bni Ahmed Cherqia ?;valeur;;8;Commune de Bni Ahmed Cherqia;strict;Natifs du territoire pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP052;valeur_precise;Quel combustible de cuisson est le plus utilisé dans la province d'Al Hoceima, en pourcentage ?;classement;;480;;écart;Combustible de cuisson utilisé — Gaz en 2024 : la valeur la plus élevée est celle de B (2), la plus basse celle de A (1), sur 2 territoires. (Source : HCP — Indicateurs démographiques et socioéconomiques RGPH 2024, feuille Ménages, milieu Ensemble)
VP053;valeur_precise;Population active occupée de 15 ans et plus à Dar Chaoui ?;valeur;;382;Commune de Dar Chaoui;strict;Population active occupée de 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP054;valeur_precise;Taux d'analphabétisme des 15 ans et plus à Sidi Lyamani ?;valeur;;114;Commune de Sidi Lyamani;strict;Taux d'analphabétisme des 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP055;valeur_precise;Mode d'évacuation des eaux usées, province de Ouezzane, quelle répartition ?;valeur;;473;Ouezzane;strict;Mode d’évacuation des eaux usées — Réseau public d'assainissement pour territoire factice en 2024 : valeur factice. (Source : HCP — Indicateurs démographiques et socioéconomiques RGPH 2024, feuille Ménages, milieu Ensemble)
VP056;valeur_precise;Indice de pauvreté multidimensionnelle MPI pour la commune de Tanger, millésime 2024 ?;valeur;;496;Commune de Tanger;strict;Indice de pauvreté multidimensionnelle MPI (2024) pour territoire factice : valeur factice. (Source : HCP — Cartographie de la pauvreté multidimensionnelle (Mai 2025), niveaux commune et province, 2024)
VP057;valeur_precise;Contribution des conditions de vie à la pauvreté multidimensionnelle, commune de Chefchaouen (la ville) ?;valeur;;495;Commune de Chefchaouen;strict;Contribution des conditions de vie à la pauvreté multidimensionnelle pour territoire factice en 2024 : valeur factice. (Source : HCP — Cartographie de la pauvreté multidimensionnelle (Mai 2025), niveaux commune et province, 2024)
VP058;valeur_precise;Habitants par ESSP dans la préfecture de Fahs-Anjra ?;valeur;;410;Fahs-Anjra;strict;Habitants par ESSP (ensemble) pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — Tableau de Bord Interactif, export officiel 2024)
VP059;valeur_precise;Combien d'établissements de rattachement RAMED dans la commune de Ksar El Kebir ?;valeur;;525;Commune de Ksar El Kebir;strict;Établissements de rattachement RAMED pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — registres des établissements, export officiel 2024. Dénombrement des établissements recensés par territoire.)
VP060;valeur_precise;Taux de vulnérabilité à la pauvreté multidimensionnelle à M'diq ?;valeur;;499;Commune de M'diq;strict;Taux de vulnérabilité à la pauvreté multidimensionnelle (2024) pour territoire factice : valeur factice. (Source : HCP — Cartographie de la pauvreté multidimensionnelle (Mai 2025), niveaux commune et province, 2024)
VP061;valeur_precise;Nombre moyen de personnes par pièce d'habitation, province de Tétouan ?;valeur;;460;Tétouan;strict;Nombre moyen de personnes par pièce d'habitation pour territoire factice en 2024 : valeur factice. (Source : HCP — Indicateurs démographiques et socioéconomiques RGPH 2024, feuille Ménages, milieu Ensemble)
VP062;valeur_precise;Résidents non migrants recensés à Bni Boufrah ?;valeur;;15;Commune de Bni Boufrah;strict;Résidents non migrants (5 ans) pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP063;valeur_precise;Population sédentaire à Senada, vous avez le chiffre ?;valeur;;10;Commune de Senada;strict;Population sédentaire pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP064;valeur_precise;Taux d'accroissement annuel des ménages, province de M'diq-Fnideq ?;valeur;;69;M'diq-Fnideq;strict;Taux d'accroissement annuel des ménages pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP065;valeur_precise;Répartition par sexe de la population de la commune de Zinat ?;valeur;;40;Commune de Zinat;strict;Population légale (2024) pour territoire factice : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP066;valeur_precise;Habitants par médecin dentiste, province d'Al Hoceima ?;valeur;;424;Al Hoceima;strict;Habitants par médecin dentiste (public + privé) pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — Tableau de Bord Interactif, export officiel 2024)
VP067;valeur_precise;Résidents installés depuis moins de 10 ans à Assilah ?;valeur;;24;Commune d'Assilah;strict;Population résidente 10 ans auparavant pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
VP068;valeur_precise;Niveau d'études dans l'enseignement général, commune de Larache (la ville) ?;valeur;;106;Commune de Larache;strict;Niveau d'études dans l'enseignement général — Aucun niveau d'études pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP069;valeur_precise;Combien de satellites (unités scolaires) du primaire public dans la province de Chefchaouen ?;valeur;;516;Chefchaouen;strict;Satellites (unités scolaires) du primaire public pour territoire factice en 2023-2024 : valeur factice. (Source : Annuaire Statistique du Maroc 2024 (HCP), Chapitre XI — Tableau 11-5)
VP070;valeur_precise;Population de 7 à 12 ans dans la commune de Bni Said ?;valeur;;39;Commune de Bni Said;strict;Population de 7 à 12 ans pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP071;valeur_precise;Quelles langues sont lues et écrites par les alphabètes de 10 ans et plus à Zaouiat Sidi Abdelkader ?;valeur;;102;Commune de Zaouiat Sidi Abdelkader;strict;Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) — Amazigh (Tifinagh) pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP072;valeur_precise;Habitants par scanner, province de Larache ?;valeur;;426;Larache;strict;Habitants par scanner (secteur public) pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — Tableau de Bord Interactif, export officiel 2024)
VP073;valeur_precise;Contribution de l'éducation à la pauvreté multidimensionnelle, commune d'Ouezzane (la ville, pas la province) ?;valeur;;488;Commune d'Ouezzane;strict;Contribution de l'éducation à la pauvreté multidimensionnelle pour territoire factice en 2024 : valeur factice. (Source : HCP — Cartographie de la pauvreté multidimensionnelle (Mai 2025), niveaux commune et province, 2024)
VP074;valeur_precise;Comment se déplacent les habitants de Fnideq ? Vous avez une répartition par mode de transport ?;valeur;;506;Commune de Fnideq;strict;Mode de transport — Transport de l'employeur / Etablissement pour territoire factice en 2024 : valeur factice. (Source : HCP — Indicateurs communaux, mode de transport domicile-travail selon RGPH 2024 (juin 2026, TTA))
VP075;valeur_precise;Établissements qualifiant (public + privé) dans la préfecture de Tanger-Assilah, chiffres 2023-2024 ?;valeur;;522;Tanger-Assilah;strict;Établissements qualifiant public + privé (Annuaire officiel) pour territoire factice en 2023-2024 : valeur factice. (Source : Annuaire Statistique du Maroc 2024 (HCP), Chapitre XI — Tableaux 11-26 et 11-32)
IMP001;impossible;Quel est le taux d'utilisation d'Internet dans la commune de Bab Taza ?;question;;;;acceptable;Sur quel indicateur pour commune de bab taza ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de vie.
IMP002;impossible;Combien d'habitants par lit d'hôpital dans la commune d'Assilah ?;valeur;;40;Commune d'Assilah;écart;Population légale (2024) pour territoire factice : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
IMP003;impossible;Quelle est la température moyenne dans la commune de Chefchaouen ?;question;;;;acceptable;Sur quel indicateur pour commune de chefchaouen ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de vie.
IMP004;impossible;Combien de kilomètres d'autoroutes traversent la commune de Martil ?;question;;;;acceptable;Sur quel indicateur pour commune de martil ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de vie.
IMP005;impossible;Quel est le taux d'urbanisation de la commune de Larache ?;question;;;;acceptable;Sur quel indicateur pour commune de larache ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de vie.
IMP006;impossible;Combien d'établissements collégiaux privés à Fnideq ?;valeur;;503;Commune de Fnideq;écart;Mode de transport — Voiture privée pour territoire factice en 2024 : valeur factice. (Source : HCP — Indicateurs communaux, mode de transport domicile-travail selon RGPH 2024 (juin 2026, TTA))
IMP007;impossible;Quel est le taux de criminalité à Tanger ?;question;;;;acceptable;Sur quel indicateur pour tanger ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Ordinateur personnel, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de vie.
IMP008;impossible;Quelle est l'espérance de vie moyenne dans la province de Chefchaouen ?;question;;;;acceptable;Sur quel indicateur pour province de chefchaouen ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Ordinateur personnel, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de v
IMP009;impossible;Quel est le PIB de la région Tanger-Tétouan-Al Hoceïma ?;refus;indicateur;;;strict;Cette donnée ne figure pas au catalogue de la plateforme. Je peux vous dire ce qui existe pour un territoire ou un secteur donné.
IMP010;impossible;Quel est le taux de natalité de la commune de Tétouan ?;question;;;;acceptable;Sur quel indicateur pour commune de tetouan ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de vie.
IMP011;impossible;Combien d'entreprises ont été créées à Tanger l'année dernière ?;classement;;12;;écart;Entrées migratoires (5 dernières années) en 2024 : la valeur la plus élevée est celle de B (2), la plus basse celle de A (1), sur 2 territoires. (Source : RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.)
IMP012;impossible;Quel est le taux de pauvreté au cercle de Ketama ?;refus;niveau_non_servi;;;strict;La plateforme publie ses données pour les 8 préfectures et provinces et les 146 communes de la région. Les quartiers, douars, cercles et arrondissements ne sont pas servis : je ne peux pas répondre à cette échelle.
IMP013;impossible;J'ai besoin des chiffres du chômage pour le cercle de Jebala.;refus;niveau_non_servi;;;strict;La plateforme publie ses données pour les 8 préfectures et provinces et les 146 communes de la région. Les quartiers, douars, cercles et arrondissements ne sont pas servis : je ne peux pas répondre à cette échelle.
IMP014;impossible;Quelle est la population du quartier Val Fleuri à Tanger ?;refus;niveau_non_servi;;;strict;La plateforme publie ses données pour les 8 préfectures et provinces et les 146 communes de la région. Les quartiers, douars, cercles et arrondissements ne sont pas servis : je ne peux pas répondre à cette échelle.
IMP015;impossible;Combien de mosquées recense-t-on dans la province d'Al Hoceima ?;question;;;;acceptable;Sur quel indicateur pour province de al hoceima ? Les plus demandés sont : Taux de pauvreté multidimensionnelle incidence H, Population légale, Ordinateur personnel, Taux de chômage. Vous pouvez aussi me demander ce qui existe pour un secteur — démographie, emploi, éducation, santé, conditions de vi
