id;famille;question;comportement_attendu;commentaire
IMP006;impossible;Combien d'établissements collégiaux privés à Fnideq ?;Expliquer que cet indicateur n'est publié qu'au niveau province.;Indicateur éducation non publié au niveau commune.
IMP007;impossible;Quel est le taux de criminalité à Tanger ?;Indiquer que cet indicateur n'existe pas du tout dans la base de données, quel que soit le territoire.;Indicateur totalement absent de la base, pas une question de niveau territorial.
IMP008;impossible;Quelle est l'espérance de vie moyenne dans la province de Chefchaouen ?;Indiquer que l'espérance de vie n'est pas un indicateur disponible dans cette base.;Indicateur inexistant, souvent attendu par les utilisateurs à tort.
IMP009;impossible;Quel est le PIB de la région Tanger-Tétouan-Al Hoceïma ?;Indiquer qu'aucun indicateur économique de type PIB n'est disponible dans la base.;Indicateur macroéconomique absent, teste la tentation de l'improviser.
IMP010;impossible;Quel est le taux de natalité de la commune de Tétouan ?;Indiquer que le « taux de natalité » en tant que tel n'est pas publié, et proposer éventuellement les indicateurs de fécondité disponibles sans les assimiler au taux de natalité.;Piège de faux ami avec les indicateurs de fécondité réellement présents (indicateur conjoncturel de fécondité, descendance finale).
IMP011;impossible;Combien d'entreprises ont été créées à Tanger l'année dernière ?;Indiquer que la base ne contient aucun indicateur sur la création d'entreprises.;Indicateur économique absent de la base.
IMP012;impossible;Quel est le taux de pauvreté au cercle de Ketama ?;Expliquer que les données sont publiées au niveau province ou commune, pas au niveau cercle, qui n'est pas un échelon couvert.;Le cercle est un échelon administratif non modélisé dans la base.
IMP013;impossible;J'ai besoin des chiffres du chômage pour le cercle de Jebala.;Expliquer que le cercle n'est pas un niveau territorial couvert par la base, et proposer de reformuler au niveau commune ou province.;Même piège que précédent avec un autre cercle.
IMP014;impossible;Quelle est la population du quartier Val Fleuri à Tanger ?;Expliquer que les données sont publiées au niveau commune, pas à l'échelle d'un quartier.;Niveau infra-communal non couvert par la base.
IMP015;impossible;Combien de mosquées recense-t-on dans la province d'Al Hoceima ?;Indiquer que le nombre de mosquées n'est pas un indicateur disponible dans la base.;Indicateur inexistant, thématique religieuse hors du périmètre des 105 familles d'indicateurs.
IMP016;impossible;Quel est le taux de pauvreté monétaire (pas multidimensionnelle) dans la province de Larache ?;Indiquer que seule la pauvreté multidimensionnelle est publiée dans la base, pas la pauvreté monétaire, et ne pas confondre les deux.;Piège de faux ami entre deux notions de pauvreté distinctes, une seule étant réellement publiée.
IMP017;impossible;Combien d'habitants par pharmacie dans la commune de Ksar El Kebir ?;Expliquer que cet indicateur n'est publié qu'au niveau province, pas au niveau commune.;Indicateur santé non publié au niveau commune.
IMP018;impossible;Quelle est la superficie en km² de la province de Ouezzane ?;Indiquer que la superficie des territoires n'est pas un indicateur disponible dans la base.;Donnée géographique de base souvent attendue mais absente des 105 familles listées.
IMP019;impossible;Quel budget la commune de Martil a-t-elle voté cette année ?;Indiquer que les données budgétaires communales ne font pas partie des indicateurs disponibles.;Indicateur financier/administratif absent de la base.
IMP020;impossible;Combien de kilomètres de routes régionales dans la commune d'Assilah ?;Expliquer que l'indicateur routes régionales n'est publié qu'au niveau province.;Encore un indicateur infrastructure non publié au niveau commune.
IMP021;impossible;Quel est le taux de chômage à Nador ?;Indiquer que Nador n'appartient pas à la région Tanger-Tétouan-Al Hoceïma couverte par la base.;Territoire hors périmètre, région limitrophe (Oriental).
IMP022;impossible;Peux-tu me donner le taux de pauvreté multidimensionnelle de Kénitra ?;Indiquer que Kénitra ne fait pas partie de la région couverte par la base.;Territoire hors région (Rabat-Salé-Kénitra).
IMP023;impossible;Quelle est la population légale de la ville de Fès ?;Indiquer que Fès n'appartient pas à la région Tanger-Tétouan-Al Hoceïma.;Territoire hors périmètre, grande ville connue pouvant induire en erreur.
IMP024;impossible;Quel est le taux de scolarisation à Agadir ?;Indiquer qu'Agadir est hors du périmètre de la région couverte par la base.;Territoire hors région.
IMP025;impossible;J'aimerais le taux d'analphabétisme de la province de Taounate.;Indiquer que Taounate n'appartient pas à la région Tanger-Tétouan-Al Hoceïma, bien qu'elle soit limitrophe.;Piège de proximité géographique avec une province d'une autre région (Fès-Meknès).
IMP026;impossible;Combien d'habitants par médecin à Settat ?;Indiquer que Settat est hors de la région couverte par la base.;Territoire hors périmètre.
IMP027;impossible;Quel est le taux d'activité de la population à Meknès ?;Indiquer que Meknès n'appartient pas à la région Tanger-Tétouan-Al Hoceïma.;Territoire hors périmètre.
IMP028;impossible;Donne-moi le taux de chômage de la province de Sidi Kacem.;Indiquer que la province de Sidi Kacem n'appartient pas à la région Tanger-Tétouan-Al Hoceïma, à ne pas confondre avec la commune de Zaouiat Sidi Kacem qui elle en fait partie.;Piège de quasi-homonymie avec une commune réelle de la région.
IMP029;impossible;Quelle est la population de Marrakech ?;Indiquer que Marrakech est hors du périmètre de la base.;Territoire très éloigné, hors de toute ambiguïté géographique mais utile pour tester le rejet basique.
IMP030;impossible;Quel est le taux d'urbanisation de la province de Taza ?;Indiquer que Taza n'appartient pas à la région Tanger-Tétouan-Al Hoceïma.;Territoire hors région, autre province limitrophe.
IMP031;impossible;Quelle sera la population de Tanger en 2030 ?;Refuser de fournir une projection et expliquer que la plateforme restitue des valeurs déjà publiées, sans faire de projection.;Demande de projection explicite, interdite par les règles de fond.
IMP032;impossible;À combien estimez-vous le taux de chômage de Tétouan dans 5 ans ?;Refuser toute estimation future et expliquer que seules des données déjà publiées sont restituées.;Projection déguisée en estimation.
IMP033;impossible;Quelle sera l'évolution du taux d'urbanisation de la province de Larache d'ici 2035 ?;Refuser de projeter une évolution future.;Demande de projection à long terme.
IMP034;impossible;Peux-tu projeter le nombre de ménages à Martil pour 2030 ?;Refuser la projection demandée explicitement.;Le mot « projeter » est explicite, cas simple à détecter.
IMP035;impossible;Quel sera le taux de scolarisation en 2027 dans la commune d'Assilah ?;Refuser de fournir une valeur future non publiée.;Projection sur une échéance proche mais toujours hors du champ des données publiées.
IMP036;impossible;Dans dix ans, combien d'habitants comptera la province de Chefchaouen ?;Refuser la projection démographique demandée.;Projection démographique à horizon 10 ans.
IMP037;impossible;Quelle est la moyenne du taux de chômage dans toute la région Tanger-Tétouan-Al Hoceïma ?;Refuser de calculer une moyenne régionale et expliquer qu'aucun calcul n'est effectué, seules les valeurs par territoire publié existent.;Calcul de moyenne interdit par les règles de fond, aucun niveau « région » n'est publié en tant que tel.
IMP038;impossible;Peux-tu me calculer le taux de pauvreté moyen pondéré par la population pour les 8 provinces ?;Refuser tout calcul de moyenne pondérée.;Calcul explicitement interdit (moyenne pondérée).
IMP039;impossible;Quel est le score global de développement de la commune de Chefchaouen ?;Indiquer qu'aucun score ou indice composite global n'est publié ni calculé par la plateforme.;Indice composite interdit par les règles de fond.
IMP040;impossible;Classe-moi toutes les communes de la région de la meilleure à la pire en matière de conditions de vie.;Refuser tout classement global et toute notion de « meilleure »/« pire » commune.;Classement global explicitement interdit.
IMP041;impossible;Quel est l'indice composite de qualité de vie pour Tétouan ?;Indiquer qu'aucun indice composite n'est publié dans la base.;Indice composite inexistant, distinct des indicateurs bruts disponibles.
IMP042;impossible;Additionne-moi la population de toutes les communes de la province de Larache.;Refuser d'effectuer une addition/agrégation entre plusieurs territoires.;Calcul d'agrégation interdit, même simple.
IMP043;impossible;Quelle est la note globale de la province d'Al Hoceima sur les indicateurs sociaux ?;Indiquer qu'aucune note globale n'existe, seules des valeurs brutes par indicateur sont publiées.;Notion de notation globale interdite.
IMP044;impossible;Peux-tu me dire quelle est la meilleure commune de la région, tous critères confondus ?;Refuser catégoriquement tout jugement de type « meilleure commune ».;Jugement global explicitement cité en exemple dans les règles de fond.
IMP045;impossible;Fais-moi une moyenne du taux d'analphabétisme entre Tanger et Tétouan.;Refuser le calcul de moyenne entre deux territoires.;Calcul interdit même limité à deux territoires seulement.
AMB001;territoire_ambigu;Quel est le taux de chômage à Al Hoceima ?;Demander de préciser si la question porte sur la commune ou sur la province d'Al Hoceima, sans choisir un niveau par défaut.;Nom partagé par une commune et une province, valeurs potentiellement très différentes.
AMB002;territoire_ambigu;Combien d'habitants à Al Hoceima ?;Demander de préciser le niveau territorial (commune ou province) avant de répondre.;Même piège d'homonymie appliqué à un indicateur démographique de base.
AMB003;territoire_ambigu;Quel est le taux de pauvreté multidimensionnelle d'Al Hoceima ?;Demander de préciser le niveau territorial visé.;Indicateur pauvreté sensible aux écarts commune/province.
AMB004;territoire_ambigu;Taux d'analphabétisme Al Hoceima svp;Demander de préciser le niveau territorial malgré la formulation courte.;Formulation télégraphique n'empêche pas le besoin de clarification.
AMB005;territoire_ambigu;Je voudrais le taux d'activité pour Al Hoceima.;Demander de préciser s'il s'agit de la commune ou de la province.;Cas standard d'homonymie sur un indicateur emploi.
AMB006;territoire_ambigu;C'est quoi le taux de scolarisation à Al Hoceima ?;Demander de préciser le niveau territorial avant de donner une valeur.;Homonymie appliquée à l'éducation.
AMB007;territoire_ambigu;Quel est le taux de pauvreté à Chefchaouen ?;Demander de préciser si la commune ou la province de Chefchaouen est visée, en rappelant que les écarts peuvent être importants entre les deux niveaux.;Cas emblématique cité en exemple (12,4 % vs 2,5 % dans le contexte du projet).
AMB008;territoire_ambigu;Population légale de Chefchaouen ?;Demander de préciser le niveau territorial (commune ou province).;Homonymie sur un indicateur démographique de référence.
AMB009;territoire_ambigu;Taux de chômage Chefchaouen;Demander de préciser le niveau territorial, malgré l'absence de ponctuation et de verbe.;Formulation minimaliste, teste la robustesse de la détection de l'ambiguïté.
AMB010;territoire_ambigu;Quel est l'indice MPI de Chefchaouen ?;Demander de préciser le niveau territorial (commune ou province) avant de donner l'indice.;Indicateur pauvreté composite parmi les plus sensibles à l'homonymie.
AMB011;territoire_ambigu;Combien de personnes actives occupées à Chefchaouen ?;Demander de préciser le niveau territorial visé.;Homonymie appliquée à un indicateur emploi.
